['CSFL', 25.390000000000001]
['CETV', 4.1200000000000001]
['CFBK', 2.3100000000000001]
['CENT', 35.57]
['CENTA', 34.020000000000003]
['CVCY', 20.699999999999999]
['CENX', 15.26]
['CNBKA', 70.540000000000006]
['CNTY', 7.8700000000000001]
['CVO', 3.8399999999999999]
['CRNT', 2.48]
['CERC', 0.90000000000000002]
['CERCW', None]
['CERN', 65.859999999999999]
['CERS', 3.0899999999999999]
['KOOL', 3.3399999999999999]
['CEVA', 42.82]
['CSBR', 3.0699999999999998]
['CYOU', 36.960000000000001]
['BURG', 2.04]
['CTHR', 0.96999999999999997]
['GTLS', 37.859999999999999]
['CHTR', 347.07999999999998]
['CHFN', 18.109999999999999]
['CHKP', 108.48999999999999]
['CHEK', 1.74]
['CHEKW', None]
['CKPT', 8.6600000000000001]
['CEMI', nan]
['CHFC', 49.359999999999999]
['CCXI', 7.5099999999999998]
['CHMG', 41.920000000000002]
['CHKE', 5.25]
['CHFS', 14.960000000000001]
['CHMA', 1.8100000000000001]
['CSSE', nan]
['PLCE', 112.34999999999999]
['CMRX', 5.0700000000000003]
['CADC', 2.5600000000000001]
['CALI', 2.4300000000000002]
['CAAS', 5.0300000000000002]
['CBPO', 97.370000000000005]
['CCCL', 1.6100000000000001]
['CCCR', 2.5800000000000001]
['CCRC', 15.0]
['JRJC', 2.2200000000000002]
['HGSH', 1.49]
['CNIT', 1.0700000000000001]
['CIFS', nan]
['CJJD', nan]
['CLDC', 4.2400000000000002]
['HTHT', 97.739999999999995]
['CHNR', 2.2000000000000002]
['CREG', 1.6699999999999999]
['CNTF', 2.4900000000000002]
['CXDC', 4.7400000000000002]
['CCIH', 1.1100000000000001]
['CNET', 1.1499999999999999]
['IMOS', 18.84]
['CDXC', 3.9700000000000002]
['CHSCL', 27.98]
['CHSCM', 26.93]
['CHSCN', 27.77]
['CHSCO', 28.199999999999999]
['CHSCP', 29.609999999999999]
['CHDN', 189.08000000000001]
['CHUY', 24.420000000000002]
['CDTX', 7.2199999999999998]
['CMCT', nan]
['CMCTP', None]
['CMPR', 97.450000000000003]
['CINF', 72.819999999999993]
['CIDM', 1.53]
['CTAS', 134.40000000000001]
['CRUS', 59.18]
['CSCO', 33.039999999999999]
['CTRN', 20.289999999999999]
['CTXR', nan]
['CTXRW', None]
['CZNC', 23.329999999999998]
['CZWI', nan]
['CZFC', 21.870000000000001]
['CIZN', 23.699999999999999]
['CTXS', 81.760000000000005]
['CHCO', 66.209999999999994]
['CIVB', 21.289999999999999]
['CIVBP', 67.170000000000002]
['CLAR', 6.7000000000000002]
['CDTI', 2.3599999999999999]
['CLNE', 2.4100000000000001]
['CLNT', 4.1399999999999997]
['CACG', nan]
['YLDE', nan]
['LRGE', nan]
['CLFD', 13.6]
['CLRO', 8.6600000000000001]
['CLSD', 7.7400000000000002]
['CLIR', 3.4399999999999999]
['CLIRW', None]
['CMTA', nan]
['CBLI', 2.9399999999999999]
['CSBK', 16.300000000000001]
['CLVS', 70.0]
['CMFN', 9.1899999999999995]
['CMSS', nan]
['CMSSR', None]
['CMSSU', None]
['CMSSW', None]
['CME', 127.63]
['CCNE', 25.09]
['CWAY', 19.91]
['COBZ', 17.859999999999999]
['COKE', 216.53999999999999]
['CODA', 4.6399999999999997]
['CDXS', 5.5899999999999999]
['CODX', nan]
['CVLY', 26.93]
['JVA', 4.3799999999999999]
['CCOI', 43.57]
['CGNT', 2.23]
['COGT', 4.7400000000000002]
['CGNX', 52.009999999999998]
['CTSH', 68.060000000000002]
['CWBR', 3.02]
['COHR', 246.12]
['CHRS', 14.94]
['COHU', 20.07]
['CLCT', 24.879999999999999]
['COLL', 11.75]
['CIGI', 53.369999999999997]
['CBAN', nan]
['COLB', 39.960000000000001]
['COLM', 59.520000000000003]
['CMCO', 30.989999999999998]
['CMCSA', 38.509999999999998]
['CBSH', 55.75]
['CBSHP', 25.789999999999999]
['CUBN', 23.350000000000001]
['CHUBA', 19.449999999999999]
['CHUBK', 18.870000000000001]
['CVGI', 8.1600000000000001]
['COMM', 36.170000000000002]
['JCS', 4.1299999999999999]
['ESXB', 8.3900000000000006]
['CFBI', nan]
['CYHHZ', None]
['CTBI', 44.399999999999999]
